COUNTERPART_AREA,INSTR_ASSET,DATE,obs_value
TOTAL,F,2013q4,21085182
EXT_EA_20,F,2013q4,476560.15
EA_20,F,2013q4,20608621.85
TOTAL,F2,2013q4,7074179
EXT_EA_20,F2,2013q4,112792.61
EA_20,F2,2013q4,6961386.39
TOTAL,F3,2013q4,1293202
EXT_EA_20,F3,2013q4,121100.8
EA_20,F3,2013q4,1172101.2
TOTAL,F4,2013q4,91583.73
EXT_EA_20,F4,2013q4,511.84
EA_20,F4,2013q4,91071.89
TOTAL,F51,2013q4,4171455.5
EXT_EA_20,F51,2013q4,158585.25
EA_20,F51,2013q4,4012870.25
TOTAL,F511,2013q4,818737.94
EXT_EA_20,F511,2013q4,103208.55
EA_20,F511,2013q4,715529.39
TOTAL,F51M,2013q4,3352717.75
EXT_EA_20,F51M,2013q4,55376.7
EA_20,F51M,2013q4,3297341.05
TOTAL,F52,2013q4,1567281.63
EXT_EA_20,F52,2013q4,66998.95
EA_20,F52,2013q4,1500282.68
TOTAL,F6,2013q4,6439399.5
EXT_EA_20,F6,2013q4,9318.3
EA_20,F6,2013q4,6430081.2
TOTAL,F81,2013q4,163388.77
EXT_EA_20,F81,2013q4,827
EA_20,F81,2013q4,162561.77
TOTAL,F89,2013q4,284691.38
EXT_EA_20,F89,2013q4,6425.4
EA_20,F89,2013q4,278265.98
TOTAL,F,2014q4,22148786
EXT_EA_20,F,2014q4,522803.7
EA_20,F,2014q4,21625982.3
TOTAL,F2,2014q4,7245967
EXT_EA_20,F2,2014q4,110081.43
EA_20,F2,2014q4,7135885.57
TOTAL,F3,2014q4,1122581.13
EXT_EA_20,F3,2014q4,115794.55
EA_20,F3,2014q4,1006786.58
TOTAL,F4,2014q4,135631.08
EXT_EA_20,F4,2014q4,3590.57
EA_20,F4,2014q4,132040.51
TOTAL,F51,2014q4,4358340
EXT_EA_20,F51,2014q4,192038.13
EA_20,F51,2014q4,4166301.87
TOTAL,F511,2014q4,857725.81
EXT_EA_20,F511,2014q4,133543.53
EA_20,F511,2014q4,724182.28
TOTAL,F51M,2014q4,3500614.5
EXT_EA_20,F51M,2014q4,58494.6
EA_20,F51M,2014q4,3442119.9
TOTAL,F52,2014q4,1785218.63
EXT_EA_20,F52,2014q4,74152.52
EA_20,F52,2014q4,1711066.11
TOTAL,F6,2014q4,7021037
EXT_EA_20,F6,2014q4,10826.5
EA_20,F6,2014q4,7010210.5
TOTAL,F81,2014q4,165250.98
EXT_EA_20,F81,2014q4,900
EA_20,F81,2014q4,164350.98
TOTAL,F89,2014q4,314760.09
EXT_EA_20,F89,2014q4,15420
EA_20,F89,2014q4,299340.09
TOTAL,F,2015q4,23167780
EXT_EA_20,F,2015q4,527814.89
EA_20,F,2015q4,22639965.11
TOTAL,F2,2015q4,7444008
EXT_EA_20,F2,2015q4,116145.66
EA_20,F2,2015q4,7327862.34
TOTAL,F3,2015q4,949392.06
EXT_EA_20,F3,2015q4,92528.29
EA_20,F3,2015q4,856863.77
TOTAL,F4,2015q4,137514.52
EXT_EA_20,F4,2015q4,5640.89
EA_20,F4,2015q4,131873.63
TOTAL,F51,2015q4,4779085.5
EXT_EA_20,F51,2015q4,212615
EA_20,F51,2015q4,4566470.5
TOTAL,F511,2015q4,912274.06
EXT_EA_20,F511,2015q4,149057.2
EA_20,F511,2015q4,763216.86
TOTAL,F51M,2015q4,3866811.25
EXT_EA_20,F51M,2015q4,63557.8
EA_20,F51M,2015q4,3803253.45
TOTAL,F52,2015q4,2020509.5
EXT_EA_20,F52,2015q4,71823.35
EA_20,F52,2015q4,1948686.15
TOTAL,F6,2015q4,7366023
EXT_EA_20,F6,2015q4,10860.6
EA_20,F6,2015q4,7355162.4
TOTAL,F81,2015q4,169373.61
EXT_EA_20,F81,2015q4,1018
EA_20,F81,2015q4,168355.61
TOTAL,F89,2015q4,301873.78
EXT_EA_20,F89,2015q4,17183.1
EA_20,F89,2015q4,284690.68
TOTAL,F,2016q4,24371202
EXT_EA_20,F,2016q4,529305.66
EA_20,F,2016q4,23841896.34
TOTAL,F2,2016q4,7736229
EXT_EA_20,F2,2016q4,109919.02
EA_20,F2,2016q4,7626309.98
TOTAL,F3,2016q4,808974
EXT_EA_20,F3,2016q4,90698.59
EA_20,F3,2016q4,718275.41
TOTAL,F4,2016q4,125163.17
EXT_EA_20,F4,2016q4,4670.74
EA_20,F4,2016q4,120492.43
TOTAL,F51,2016q4,5222308
EXT_EA_20,F51,2016q4,228003.84
EA_20,F51,2016q4,4994304.16
TOTAL,F511,2016q4,940757.94
EXT_EA_20,F511,2016q4,160677.84
EA_20,F511,2016q4,780080.1
TOTAL,F51M,2016q4,4281550
EXT_EA_20,F51M,2016q4,67326
EA_20,F51M,2016q4,4214224
TOTAL,F52,2016q4,2103719.25
EXT_EA_20,F52,2016q4,71045.17
EA_20,F52,2016q4,2032674.08
TOTAL,F6,2016q4,7902693.5
EXT_EA_20,F6,2016q4,11157
EA_20,F6,2016q4,7891536.5
TOTAL,F81,2016q4,176682.38
EXT_EA_20,F81,2016q4,1073
EA_20,F81,2016q4,175609.38
TOTAL,F89,2016q4,295432.13
EXT_EA_20,F89,2016q4,12738.3
EA_20,F89,2016q4,282693.83
TOTAL,F,2017q4,25375998
EXT_EA_20,F,2017q4,546328.48
EA_20,F,2017q4,24829669.52
TOTAL,F2,2017q4,7994590.5
EXT_EA_20,F2,2017q4,111255.24
EA_20,F2,2017q4,7883335.26
TOTAL,F3,2017q4,699507.38
EXT_EA_20,F3,2017q4,84041.2
EA_20,F3,2017q4,615466.18
TOTAL,F4,2017q4,140071.95
EXT_EA_20,F4,2017q4,3800.7
EA_20,F4,2017q4,136271.25
TOTAL,F51,2017q4,5619381.5
EXT_EA_20,F51,2017q4,247800.94
EA_20,F51,2017q4,5371580.56
TOTAL,F511,2017q4,1049385.88
EXT_EA_20,F511,2017q4,175579.64
EA_20,F511,2017q4,873806.24
TOTAL,F51M,2017q4,4569995.5
EXT_EA_20,F51M,2017q4,72221.3
EA_20,F51M,2017q4,4497774.2
TOTAL,F52,2017q4,2339035.5
EXT_EA_20,F52,2017q4,78024.9
EA_20,F52,2017q4,2261010.6
TOTAL,F6,2017q4,8112239.5
EXT_EA_20,F6,2017q4,11619.3
EA_20,F6,2017q4,8100620.2
TOTAL,F81,2017q4,176091.69
EXT_EA_20,F81,2017q4,1164
EA_20,F81,2017q4,174927.69
TOTAL,F89,2017q4,295080.69
EXT_EA_20,F89,2017q4,8622.2
EA_20,F89,2017q4,286458.49
TOTAL,F,2018q4,25427590
EXT_EA_20,F,2018q4,509707.44
EA_20,F,2018q4,24917882.56
TOTAL,F2,2018q4,8311972
EXT_EA_20,F2,2018q4,104690.23
EA_20,F2,2018q4,8207281.77
TOTAL,F3,2018q4,649598
EXT_EA_20,F3,2018q4,81106.05
EA_20,F3,2018q4,568491.95
TOTAL,F4,2018q4,129376.53
EXT_EA_20,F4,2018q4,3306.7
EA_20,F4,2018q4,126069.83
TOTAL,F51,2018q4,5489302.5
EXT_EA_20,F51,2018q4,239205.36
EA_20,F51,2018q4,5250097.14
TOTAL,F511,2018q4,914752.31
EXT_EA_20,F511,2018q4,162583.16
EA_20,F511,2018q4,752169.15
TOTAL,F51M,2018q4,4574550
EXT_EA_20,F51M,2018q4,76622.2
EA_20,F51M,2018q4,4497927.8
TOTAL,F52,2018q4,2168953.25
EXT_EA_20,F52,2018q4,60290.1
EA_20,F52,2018q4,2108663.15
TOTAL,F6,2018q4,8196827
EXT_EA_20,F6,2018q4,11631.1
EA_20,F6,2018q4,8185195.9
TOTAL,F81,2018q4,182341.33
EXT_EA_20,F81,2018q4,1290
EA_20,F81,2018q4,181051.33
TOTAL,F89,2018q4,299220.13
EXT_EA_20,F89,2018q4,8187.9
EA_20,F89,2018q4,291032.23
TOTAL,F,2019q4,27595386
EXT_EA_20,F,2019q4,579981.3
EA_20,F,2019q4,27015404.7
TOTAL,F2,2019q4,8743659
EXT_EA_20,F2,2019q4,116386
EA_20,F2,2019q4,8627273
TOTAL,F3,2019q4,608799.69
EXT_EA_20,F3,2019q4,87608.54
EA_20,F3,2019q4,521191.15
TOTAL,F4,2019q4,130609.71
EXT_EA_20,F4,2019q4,3148.99
EA_20,F4,2019q4,127460.72
TOTAL,F51,2019q4,6089759.5
EXT_EA_20,F51,2019q4,299371.45
EA_20,F51,2019q4,5790388.05
TOTAL,F511,2019q4,1114353.5
EXT_EA_20,F511,2019q4,214851.45
EA_20,F511,2019q4,899502.05
TOTAL,F51M,2019q4,4975406
EXT_EA_20,F51M,2019q4,84520
EA_20,F51M,2019q4,4890886
TOTAL,F52,2019q4,2460274.5
EXT_EA_20,F52,2019q4,50413.22
EA_20,F52,2019q4,2409861.28
TOTAL,F6,2019q4,9068195
EXT_EA_20,F6,2019q4,11974.3
EA_20,F6,2019q4,9056220.7
TOTAL,F81,2019q4,196908.63
EXT_EA_20,F81,2019q4,1407
EA_20,F81,2019q4,195501.63
TOTAL,F89,2019q4,297179.38
EXT_EA_20,F89,2019q4,9671.8
EA_20,F89,2019q4,287507.58
TOTAL,F,2020q4,29245924
EXT_EA_20,F,2020q4,644461.94
EA_20,F,2020q4,28601462.06
TOTAL,F2,2020q4,9441415
EXT_EA_20,F2,2020q4,119804.17
EA_20,F2,2020q4,9321610.83
TOTAL,F3,2020q4,548749.44
EXT_EA_20,F3,2020q4,78375.74
EA_20,F3,2020q4,470373.7
TOTAL,F4,2020q4,145851.55
EXT_EA_20,F4,2020q4,3012.34
EA_20,F4,2020q4,142839.21
TOTAL,F51,2020q4,6511763.5
EXT_EA_20,F51,2020q4,368163.34
EA_20,F51,2020q4,6143600.16
TOTAL,F511,2020q4,1209179.63
EXT_EA_20,F511,2020q4,277590.84
EA_20,F511,2020q4,931588.79
TOTAL,F51M,2020q4,5302583.5
EXT_EA_20,F51M,2020q4,90572.5
EA_20,F51M,2020q4,5212011
TOTAL,F52,2020q4,2559021
EXT_EA_20,F52,2020q4,49444.25
EA_20,F52,2020q4,2509576.75
TOTAL,F6,2020q4,9509435
EXT_EA_20,F6,2020q4,12320.2
EA_20,F6,2020q4,9497114.8
TOTAL,F81,2020q4,191799.55
EXT_EA_20,F81,2020q4,1628.1
EA_20,F81,2020q4,190171.45
TOTAL,F89,2020q4,337889.47
EXT_EA_20,F89,2020q4,11713.8
EA_20,F89,2020q4,326175.67
TOTAL,F,2021q4,31260550
EXT_EA_20,F,2021q4,775205.72
EA_20,F,2021q4,30485344.28
TOTAL,F2,2021q4,9912439
EXT_EA_20,F2,2021q4,128756.15
EA_20,F2,2021q4,9783682.85
TOTAL,F3,2021q4,498743.84
EXT_EA_20,F3,2021q4,74127.38
EA_20,F3,2021q4,424616.46
TOTAL,F4,2021q4,151147.17
EXT_EA_20,F4,2021q4,3611.79
EA_20,F4,2021q4,147535.38
TOTAL,F51,2021q4,7502923.5
EXT_EA_20,F51,2021q4,486579.29
EA_20,F51,2021q4,7016344.21
TOTAL,F511,2021q4,1497718.38
EXT_EA_20,F511,2021q4,387515.19
EA_20,F511,2021q4,1110203.19
TOTAL,F51M,2021q4,6005205
EXT_EA_20,F51M,2021q4,99064.1
EA_20,F51M,2021q4,5906140.9
TOTAL,F52,2021q4,3021904
EXT_EA_20,F52,2021q4,55238.81
EA_20,F52,2021q4,2966665.19
TOTAL,F6,2021q4,9570104
EXT_EA_20,F6,2021q4,13152.1
EA_20,F6,2021q4,9556951.9
TOTAL,F81,2021q4,207022.27
EXT_EA_20,F81,2021q4,2052
EA_20,F81,2021q4,204970.27
TOTAL,F89,2021q4,396266.88
EXT_EA_20,F89,2021q4,11688.2
EA_20,F89,2021q4,384578.68
TOTAL,F,2022q4,29948758
EXT_EA_20,F,2022q4,703323.06
EA_20,F,2022q4,29245434.94
TOTAL,F2,2022q4,10278153
EXT_EA_20,F2,2022q4,117349.24
EA_20,F2,2022q4,10160803.76
TOTAL,F3,2022q4,538382.06
EXT_EA_20,F3,2022q4,71727.08
EA_20,F3,2022q4,466654.98
TOTAL,F4,2022q4,138750.11
EXT_EA_20,F4,2022q4,3671.07
EA_20,F4,2022q4,135079.04
TOTAL,F51,2022q4,7416905
EXT_EA_20,F51,2022q4,429294.48
EA_20,F51,2022q4,6987610.52
TOTAL,F511,2022q4,1301915.88
EXT_EA_20,F511,2022q4,325456.38
EA_20,F511,2022q4,976459.5
TOTAL,F51M,2022q4,6114989
EXT_EA_20,F51M,2022q4,103838.1
EA_20,F51M,2022q4,6011150.9
TOTAL,F52,2022q4,2825939.25
EXT_EA_20,F52,2022q4,55298.39
EA_20,F52,2022q4,2770640.86
TOTAL,F6,2022q4,8183914.5
EXT_EA_20,F6,2022q4,12637
EA_20,F6,2022q4,8171277.5
TOTAL,F81,2022q4,211354.56
EXT_EA_20,F81,2022q4,2230
EA_20,F81,2022q4,209124.56
TOTAL,F89,2022q4,355360.47
EXT_EA_20,F89,2022q4,11115.8
EA_20,F89,2022q4,344244.67
TOTAL,F,2023q4,31836828
EXT_EA_20,F,2023q4,785471.5
EA_20,F,2023q4,31051356.5
TOTAL,F2,2023q4,10352031
EXT_EA_20,F2,2023q4,106144.02
EA_20,F2,2023q4,10245886.98
TOTAL,F3,2023q4,863737.75
EXT_EA_20,F3,2023q4,88167.63
EA_20,F3,2023q4,775570.12
TOTAL,F4,2023q4,130117.7
EXT_EA_20,F4,2023q4,3523.15
EA_20,F4,2023q4,126594.55
TOTAL,F51,2023q4,8070495.5
EXT_EA_20,F51,2023q4,505370.69
EA_20,F51,2023q4,7565124.81
TOTAL,F511,2023q4,1466906.75
EXT_EA_20,F511,2023q4,394852.69
EA_20,F511,2023q4,1072054.06
TOTAL,F51M,2023q4,6603589
EXT_EA_20,F51M,2023q4,110518
EA_20,F51M,2023q4,6493071
TOTAL,F52,2023q4,3098470.25
EXT_EA_20,F52,2023q4,56692.81
EA_20,F52,2023q4,3041777.44
TOTAL,F6,2023q4,8692266
EXT_EA_20,F6,2023q4,12148.9
EA_20,F6,2023q4,8680117.1
TOTAL,F81,2023q4,223036.56
EXT_EA_20,F81,2023q4,2349
EA_20,F81,2023q4,220687.56
TOTAL,F89,2023q4,406673.38
EXT_EA_20,F89,2023q4,11075.3
EA_20,F89,2023q4,395598.08
